symbol,spot_security_id,fut_security_id,fut_expiry,lot_size
RELIANCE,2885,62802,2026-06-30,500
RELIANCE,2885,61284,2026-07-28,500
RELIANCE,2885,58371,2026-08-25,500
HDFCBANK,1333,62593,2026-06-30,550
HDFCBANK,1333,61189,2026-07-28,650
HDFCBANK,1333,58216,2026-08-25,650
ICICIBANK,4963,62604,2026-06-30,700
ICICIBANK,4963,61197,2026-07-28,700
ICICIBANK,4963,58232,2026-08-25,700
SBIN,3045,62812,2026-06-30,750
SBIN,3045,61289,2026-07-28,750
SBIN,3045,58382,2026-08-25,750
INFY,1594,62620,2026-06-30,400
INFY,1594,61209,2026-07-28,400
INFY,1594,58245,2026-08-25,400
TCS,11536,62851,2026-06-30,175
TCS,11536,61304,2026-07-28,225
TCS,11536,58399,2026-08-25,225
AXISBANK,5900,62373,2026-06-30,625
AXISBANK,5900,61114,2026-07-28,625
AXISBANK,5900,58117,2026-08-25,625
KOTAKBANK,1922,62659,2026-06-30,2000
KOTAKBANK,1922,61226,2026-07-28,2000
KOTAKBANK,1922,58277,2026-08-25,2000
BAJFINANCE,317,62377,2026-06-30,750
BAJFINANCE,317,61118,2026-07-28,750
BAJFINANCE,317,58121,2026-08-25,750
BHARTIARTL,10604,62384,2026-06-30,475
BHARTIARTL,10604,61127,2026-07-28,475
BHARTIARTL,10604,58132,2026-08-25,475
ITC,1660,62625,2026-06-30,1600
ITC,1660,61216,2026-07-28,1725
ITC,1660,58250,2026-08-25,1725
LT,11483,62665,2026-06-30,175
LT,11483,61232,2026-07-28,175
LT,11483,58292,2026-08-25,175
HINDUNILVR,1394,62598,2026-06-30,300
HINDUNILVR,1394,61194,2026-07-28,300
HINDUNILVR,1394,58227,2026-08-25,300
MARUTI,10999,62683,2026-06-30,50
MARUTI,10999,61240,2026-07-28,50
MARUTI,10999,58306,2026-08-25,50
M&M,2031,62677,2026-06-30,200
M&M,2031,61236,2026-07-28,200
M&M,2031,58302,2026-08-25,200
TATASTEEL,3499,62850,2026-06-30,2750
TATASTEEL,3499,61303,2026-07-28,2750
TATASTEEL,3499,58398,2026-08-25,2750
HCLTECH,7229,62591,2026-06-30,350
HCLTECH,7229,61187,2026-07-28,400
HCLTECH,7229,58214,2026-08-25,400
WIPRO,3787,62874,2026-06-30,3000
WIPRO,3787,61322,2026-07-28,3000
WIPRO,3787,58419,2026-08-25,3000
ADANIENT,25,62343,2026-06-30,309
ADANIENT,25,61099,2026-07-28,309
ADANIENT,25,58088,2026-08-25,309
ADANIPORTS,15083,62345,2026-06-30,475
ADANIPORTS,15083,61101,2026-07-28,475
ADANIPORTS,15083,58090,2026-08-25,475
ASIANPAINT,236,62367,2026-06-30,250
ASIANPAINT,236,61110,2026-07-28,250
ASIANPAINT,236,58107,2026-08-25,250
BAJAJFINSV,16675,62375,2026-06-30,250
BAJAJFINSV,16675,61116,2026-07-28,300
BAJAJFINSV,16675,58119,2026-08-25,300
BAJAJ-AUTO,16669,62374,2026-06-30,75
BAJAJ-AUTO,16669,61115,2026-07-28,75
BAJAJ-AUTO,16669,58118,2026-08-25,75
SUNPHARMA,3351,62838,2026-06-30,350
SUNPHARMA,3351,61296,2026-07-28,350
SUNPHARMA,3351,58391,2026-08-25,350
CIPLA,694,62407,2026-06-30,375
CIPLA,694,61142,2026-07-28,425
CIPLA,694,58147,2026-08-25,425
DRREDDY,881,62565,2026-06-30,625
DRREDDY,881,61163,2026-07-28,625
DRREDDY,881,58170,2026-08-25,625
JSWSTEEL,11723,62643,2026-06-30,675
JSWSTEEL,11723,61220,2026-07-28,675
JSWSTEEL,11723,58258,2026-08-25,675
HINDALCO,1363,62596,2026-06-30,700
HINDALCO,1363,61192,2026-07-28,700
HINDALCO,1363,58225,2026-08-25,700
COALINDIA,20374,62408,2026-06-30,1350
COALINDIA,20374,61143,2026-07-28,1350
COALINDIA,20374,58148,2026-08-25,1350
NTPC,11630,62717,2026-06-30,1500
NTPC,11630,61256,2026-07-28,1500
NTPC,11630,58333,2026-08-25,1500
POWERGRID,14977,62791,2026-06-30,1900
POWERGRID,14977,61278,2026-07-28,1900
POWERGRID,14977,58357,2026-08-25,1900
ONGC,2475,62738,2026-06-30,2250
ONGC,2475,61262,2026-07-28,2250
ONGC,2475,58339,2026-08-25,2250
GRASIM,1232,62588,2026-06-30,250
GRASIM,1232,61184,2026-07-28,250
GRASIM,1232,58208,2026-08-25,250
ULTRACEMCO,11532,62861,2026-06-30,50
ULTRACEMCO,11532,61312,2026-07-28,50
ULTRACEMCO,11532,58407,2026-08-25,50
TITAN,3506,62854,2026-06-30,175
TITAN,3506,61307,2026-07-28,175
TITAN,3506,58402,2026-08-25,175
NESTLEIND,17963,62714,2026-06-30,500
NESTLEIND,17963,61253,2026-07-28,500
NESTLEIND,17963,58330,2026-08-25,500
EICHERMOT,910,62566,2026-06-30,100
EICHERMOT,910,61164,2026-07-28,100
EICHERMOT,910,58181,2026-08-25,100
DIVISLAB,10940,62561,2026-06-30,100
DIVISLAB,10940,61159,2026-07-28,100
DIVISLAB,10940,58160,2026-08-25,100
DLF,14732,62563,2026-06-30,825
DLF,14732,61161,2026-07-28,950
DLF,14732,58162,2026-08-25,950
TRENT,1964,62859,2026-06-30,150
TRENT,1964,61310,2026-07-28,225
TRENT,1964,58405,2026-08-25,225
TECHM,13538,62852,2026-06-30,600
TECHM,13538,61305,2026-07-28,600
TECHM,13538,58400,2026-08-25,600
INDUSINDBK,5258,62618,2026-06-30,700
INDUSINDBK,5258,61206,2026-07-28,700
INDUSINDBK,5258,58243,2026-08-25,700
PNB,10666,62773,2026-06-30,8000
PNB,10666,61274,2026-07-28,8000
PNB,10666,58350,2026-08-25,8000
