symbol,side,opt_type,expiry,strike,entry_ts,exit_ts,spot_entry,spot_exit,premium_entry,premium_exit,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held,limit_price,new_pe,net_pnl_limit,delta,cap
NIFTY,short,PE,2026-06-30,22800.0,2026-04-01 13:35:00,2026-04-01 13:40:00,22776.25,22716.29505,779.35,832.95,65,SL,3484.0000000000014,126.001282183,3357.9987178170013,2,779.35,779.35,3357.9987178170013,0.0,50657.75
BANKNIFTY,short,PE,2026-06-30,51800.0,2026-04-01 13:45:00,2026-04-01 14:05:00,51472.4,51678.2896,2177.0,2089.25,30,SL,-2632.5,141.387907825,-2773.887907825,5,2177.0,2177.0,-2773.887907825,0.0,65310.0
BANKNIFTY,long,CE,2026-06-30,50000.0,2026-04-02 12:00:00,2026-04-02 13:05:00,50192.8,50377.56255,3127.55,3294.15,30,SL,4997.999999999997,191.640497134,4806.3595028659975,14,3127.55,3127.55,4806.3595028659975,0.0,93826.5
BANKNIFTY,long,CE,2026-06-30,51000.0,2026-04-02 13:25:00,2026-04-02 13:35:00,50576.1,50715.84465,2709.15,2850.0,30,SL,4225.499999999997,172.209435583,4053.290564416997,3,2709.15,2709.15,4053.2905644169973,4.547473508864641e-13,81274.5
BANKNIFTY,long,CE,2026-06-30,51200.0,2026-04-02 14:15:00,2026-04-02 14:25:00,51170.45,51243.45,2416.8,2416.8,30,OI_FLIP,0.0,154.80086627199998,-154.80086627199998,3,2416.8,2416.8,-154.80086627199998,0.0,72504.0
NIFTY,long,CE,2026-06-30,22650.0,2026-04-02 14:20:00,2026-04-02 15:15:00,22651.55,22717.65,1019.35,1208.25,65,TIME,12278.499999999998,158.294924746,12120.205075253998,12,1019.35,1019.35,12120.205075253998,0.0,66257.75
BANKNIFTY,long,CE,2026-06-30,52300.0,2026-04-06 13:15:00,2026-04-06 14:05:00,52224.2,52276.4,2611.6,2611.6,30,OI_FLIP,0.0,163.473759664,-163.473759664,11,2611.6,2611.6,-163.473759664,0.0,78348.0
NIFTY,long,CE,2026-06-30,22850.0,2026-04-06 13:15:00,2026-04-06 15:15:00,22861.3,22970.9,1107.55,1201.0,65,TIME,6074.250000000003,160.3535577705,5913.896442229503,25,1107.55,1107.55,5913.896442229503,0.0,71990.75
NIFTY,long,CE,2026-06-30,22900.0,2026-04-07 11:20:00,2026-04-07 11:40:00,22895.0,22921.25,1112.85,1162.3,65,OI_FLIP,3214.2500000000027,157.89175195650003,3056.3582480435025,5,1112.85,1112.85,3056.3582480435025,0.0,72335.25
BANKNIFTY,long,CE,2026-06-30,52000.0,2026-04-07 11:30:00,2026-04-07 12:00:00,52200.45,52182.55,2983.5,3066.95,30,OI_FLIP,2503.4999999999945,182.633979709,2320.8660202909946,7,2983.5,2983.5,2320.8660202909946,0.0,89505.0
NIFTY,long,CE,2026-06-30,23000.0,2026-04-07 13:35:00,2026-04-07 15:15:00,23014.15,23123.45,1146.05,1169.0,65,TIME,1491.750000000003,159.3037733855,1332.4462266145028,21,1141.35,1141.35,1638.0820317515058,305.635805137003,74187.75
NIFTY,long,CE,2026-06-30,24000.0,2026-04-08 13:40:00,2026-04-08 14:50:00,24017.5,23987.65,956.8,943.3,65,OI_FLIP,-877.5,138.584965971,-1016.084965971,15,952.65,952.65,-746.2150529245015,269.8699130464985,61922.25
BANKNIFTY,long,CE,2026-06-30,55500.0,2026-04-08 14:25:00,2026-04-08 14:45:00,55547.05,55652.0,2455.25,2600.0,30,OI_FLIP,4342.5,161.02691510499997,4181.473084895,5,2455.25,2455.25,4181.473084895,0.0,73657.5
BANKNIFTY,short,PE,2026-06-30,54700.0,2026-04-09 14:25:00,2026-04-09 15:10:00,54739.45,54884.25,1514.45,1514.45,30,OI_FLIP,0.0,114.626403478,-114.626403478,10,1514.45,1514.45,-114.62640347800001,-1.4210854715202004e-14,45433.5
BANKNIFTY,long,CE,2026-06-30,55500.0,2026-04-13 14:00:00,2026-04-13 14:05:00,55700.2,55587.8,2536.9,2549.75,30,OI_FLIP,385.49999999999727,160.548703633,224.95129636699727,2,2536.9,2536.9,224.95129636699727,0.0,76107.0
NIFTY,long,CE,2026-06-30,23900.0,2026-04-13 14:00:00,2026-04-13 15:15:00,23893.05,23825.6,945.0,913.45,65,TIME,-2050.7499999999973,136.2270525495,-2186.9770525494973,16,947.0,947.0,-2317.0348419694974,-130.05778942000006,61555.0
BANKNIFTY,short,PE,2026-06-30,56000.0,2026-04-15 11:10:00,2026-04-15 14:50:00,56184.4,56409.1376,1480.0,1459.1,30,SL,-627.0000000000027,112.440831382,-739.4408313820027,45,1480.0,1480.0,-739.4408313820027,0.0,44400.0
BANKNIFTY,short,PE,2026-06-30,56400.0,2026-04-16 11:50:00,2026-04-16 13:45:00,56257.15,56065.94475,1429.1,1713.85,30,SL,8542.5,119.706666559,8422.793333441,24,1429.1,1429.1,8422.793333441,0.0,42873.0
BANKNIFTY,short,PE,2026-06-30,56500.0,2026-04-20 13:25:00,2026-04-20 15:15:00,56614.85,56514.55,1420.0,1528.2,30,TIME,3246.0000000000014,113.79562416400002,3132.2043758360014,23,1420.0,1420.0,3132.2043758360014,0.0,42600.0
NIFTY,long,CE,2026-06-30,24500.0,2026-04-21 09:50:00,2026-04-21 13:15:00,24501.4,24541.8,810.3,833.0,65,OI_FLIP,1475.500000000003,126.898951943,1348.601048057003,42,810.3,810.3,1348.601048057003,0.0,52669.5
BANKNIFTY,long,CE,2026-06-30,57200.0,2026-04-22 10:45:00,2026-04-22 15:15:00,57295.3,57105.3,2077.9,2098.75,30,TIME,625.4999999999973,140.362575433,485.1374245669973,55,2077.9,2077.9,485.1374245669973,0.0,62337.0
NIFTY,short,PE,2026-06-30,24400.0,2026-04-22 13:25:00,2026-04-22 15:15:00,24393.9,24378.45,551.65,559.15,65,TIME,487.5,100.921370118,386.578629882,23,551.65,551.65,386.578629882,0.0,35857.25
BANKNIFTY,short,PE,2026-06-30,56200.0,2026-04-23 14:15:00,2026-04-23 15:15:00,56268.95,56281.85,1412.9,1567.65,30,TIME,4642.5,114.931226911,4527.568773089,13,1412.9,1412.9,4527.568773089,0.0,42387.0
NIFTY,short,PE,2026-06-30,23950.0,2026-04-24 10:25:00,2026-04-24 12:55:00,23943.95,23904.35,562.8,597.0,65,OI_FLIP,2223.0000000000027,103.801059658,2119.1989403420025,31,562.8,562.8,2119.1989403420025,0.0,36582.0
BANKNIFTY,short,PE,2026-06-30,55900.0,2026-04-24 13:15:00,2026-04-24 13:50:00,55917.4,55834.8,1554.35,1576.85,30,OI_FLIP,675.0,117.104518324,557.895481676,8,1554.35,1554.35,557.895481676,0.0,46630.5
NIFTY,short,PE,2026-06-30,23850.0,2026-04-24 13:35:00,2026-04-24 15:15:00,23854.65,23916.65,576.0,575.9,65,TIME,-6.500000000001478,102.756748949,-109.25674894900148,21,576.0,576.0,-109.25674894900148,0.0,37440.0
BANKNIFTY,short,PE,2026-06-30,56200.0,2026-04-27 10:25:00,2026-04-27 11:45:00,56170.25,56078.83329999999,1494.15,1494.15,30,SL,0.0,113.72260606599998,-113.72260606599998,17,1494.15,1494.15,-113.72260606599998,0.0,44824.5
NIFTY,long,CE,2026-06-30,24200.0,2026-04-29 10:05:00,2026-04-29 13:45:00,24202.7,24261.6959,760.8,790.45,65,SL,1927.250000000006,122.5935726375,1804.6564273625056,45,760.8,760.8,1804.6564273625058,2.2737367544323206e-13,49452.0
BANKNIFTY,long,CE,2026-06-30,55900.0,2026-04-29 11:25:00,2026-04-29 11:40:00,55944.5,55885.7,1899.0,1928.05,30,OI_FLIP,871.4999999999986,132.653307841,738.8466921589986,4,1899.0,1899.0,738.8466921589986,0.0,56970.0
NIFTY,long,CE,2026-06-30,23950.0,2026-04-30 13:25:00,2026-04-30 13:50:00,23967.5,24033.95,758.3,808.8,65,OI_FLIP,3282.5,123.761240041,3158.738759959,6,758.3,758.3,3158.738759959,0.0,49289.5
BANKNIFTY,long,CE,2026-06-30,55100.0,2026-04-30 13:45:00,2026-04-30 15:05:00,55069.4,54849.1224,1688.95,1688.95,30,SL,0.0,122.395499458,-122.395499458,17,1688.95,1688.95,-122.395499458,0.0,50668.5
BANKNIFTY,long,CE,2026-06-30,54800.0,2026-05-05 13:10:00,2026-05-05 15:00:00,54761.55,54542.503800000006,1618.0,1618.0,30,SL,0.0,119.23666072000002,-119.23666072000002,23,1618.0,1618.0,-119.23666072000002,0.0,48540.0
NIFTY,long,CE,2026-06-30,24050.0,2026-05-05 13:10:00,2026-05-05 15:15:00,24066.35,24050.45,738.6,714.5,65,TIME,-1566.5000000000014,116.820190601,-1683.3201906010013,26,732.7,732.7,-1299.649711812003,383.67047878899825,47625.5
BANKNIFTY,short,PE,2026-06-30,55900.0,2026-05-07 11:30:00,2026-05-07 11:50:00,55874.65,55835.8,1225.1,1311.25,30,OI_FLIP,2584.5000000000027,104.430626827,2480.0693731730025,5,1225.1,1225.1,2480.0693731730025,0.0,36753.0
NIFTY,short,PE,2026-06-30,24150.0,2026-05-08 14:00:00,2026-05-08 14:40:00,24139.15,24235.7066,510.65,464.0,65,SL,-3032.249999999998,93.3074291015,-3125.5574291014987,9,510.65,510.65,-3125.5574291014987,0.0,33192.25
NIFTY,long,CE,2026-06-30,24000.0,2026-05-11 13:55:00,2026-05-11 14:45:00,23994.3,23898.3228,666.5,609.65,65,SL,-3695.250000000002,107.6521979165,-3802.902197916501,11,665.35,665.35,-3728.118969000003,74.78322891649805,43247.75
NIFTY,short,PE,2026-06-30,23450.0,2026-05-12 14:10:00,2026-05-12 15:15:00,23466.25,23386.55,517.15,549.9,65,TIME,2128.75,99.29948280549998,2029.4505171945,14,517.15,517.15,2029.4505171945,0.0,33614.75
BANKNIFTY,long,CE,2026-06-30,53900.0,2026-05-13 11:40:00,2026-05-13 14:45:00,53905.75,53690.127,1816.85,1793.6,30,SL,-697.5,127.364793409,-824.864793409,38,1816.85,1816.85,-824.864793409,0.0,54505.5
BANKNIFTY,long,CE,2026-06-30,53600.0,2026-05-14 11:25:00,2026-05-14 11:30:00,53598.4,53721.650100000006,1745.7,1850.05,30,SL,3130.4999999999973,128.17638641499997,3002.323613584997,2,1748.1,1748.1,2930.2916071370014,-72.03200644799563,52443.0
BANKNIFTY,long,CE,2026-06-30,54000.0,2026-05-14 11:40:00,2026-05-14 11:45:00,53974.1,54130.3,1727.65,1808.9,30,OI_FLIP,2437.5,126.652366531,2310.847633469,2,1722.1,1722.1,2477.4216483800055,166.57401491100563,51663.0
NIFTY,long,CE,2026-06-30,23650.0,2026-05-14 11:40:00,2026-05-14 14:45:00,23629.15,23705.8684,634.0,662.0,65,SL,1820.0,110.25039415999998,1709.74960584,38,640.0,640.0,1319.57623758,-390.17336825999996,41600.0
BANKNIFTY,short,PE,2026-06-30,54000.0,2026-05-15 11:20:00,2026-05-15 12:50:00,54006.85,54222.8774,1403.0,1278.85,30,SL,-3724.5000000000023,105.792677737,-3830.2926777370026,19,1396.3,1396.3,-3629.2033264030015,201.0893513340011,41889.0
NIFTY,short,PE,2026-06-30,23750.0,2026-05-15 13:35:00,2026-05-15 15:15:00,23761.7,23637.15,499.2,580.0,65,TIME,5252.000000000001,100.814671032,5151.185328968001,21,499.2,499.2,5151.185328968001,0.0,32448.0
BANKNIFTY,long,CE,2026-06-30,53700.0,2026-05-19 11:00:00,2026-05-19 14:40:00,53675.65,53460.947400000005,1604.05,1513.1,30,SL,-2728.5000000000014,115.779209743,-2844.279209743001,45,1604.05,1604.05,-2844.2792097430015,-4.547473508864641e-13,48121.5
NIFTY,short,PE,2026-06-30,23700.0,2026-05-19 13:40:00,2026-05-19 15:15:00,23710.35,23609.05,505.25,550.0,65,TIME,2908.75,98.9623927275,2809.7876072725,20,505.25,505.25,2809.7876072725,0.0,32841.25
BANKNIFTY,long,CE,2026-06-30,53100.0,2026-05-20 10:35:00,2026-05-20 12:05:00,53077.6,53250.41805,1655.0,1745.0,30,SL,2700.0,123.69071800000002,2576.309282,19,1655.0,1655.0,2576.309282,0.0,49650.0
BANKNIFTY,long,CE,2026-06-30,53400.0,2026-05-20 14:10:00,2026-05-20 15:15:00,53413.95,53568.7,1642.1,1750.0,30,TIME,3237.0000000000027,123.674613442,3113.3253865580027,14,1642.35,1642.35,3105.822052553003,-7.503334004999942,49270.5
NIFTY,long,CE,2026-06-30,23650.0,2026-05-20 14:10:00,2026-05-20 15:15:00,23661.1,23659.5,602.0,590.8,65,TIME,-728.000000000003,104.51480008800002,-832.514800088003,14,607.1,607.1,-1164.1621631090045,-331.6473630210015,39461.5
BANKNIFTY,short,PE,2026-06-30,53700.0,2026-05-21 11:05:00,2026-05-21 12:55:00,53704.05,53274.4176,1250.0,1494.8,30,TGT,7343.999999999998,110.486887696,7233.513112303998,23,1244.4,1244.4,7401.587794015996,168.07468171199798,37332.0
BANKNIFTY,short,PE,2026-06-30,53200.0,2026-05-21 13:05:00,2026-05-21 13:45:00,53218.35,53431.2234,1300.0,1171.25,30,SL,-3862.5,101.063451925,-3963.563451925,9,1302.1,1302.1,-4026.591457566997,-63.02800564199697,39063.0
BANKNIFTY,long,CE,2026-06-30,54100.0,2026-05-22 11:50:00,2026-05-22 15:15:00,54063.15,54096.15,1475.0,1504.0,30,TIME,870.0,113.77440358,756.22559642,42,1476.0,1476.0,726.2122604,-30.013336019999997,44280.0
NIFTY,short,PE,2026-06-30,23750.0,2026-05-22 14:30:00,2026-05-22 15:15:00,23739.4,23725.35,465.0,455.0,65,TIME,-650.0,91.3802582,-741.3802582,10,458.3,458.3,-305.68666364300077,435.6935945569992,29789.5
NIFTY,long,CE,2026-06-30,23950.0,2026-05-25 13:05:00,2026-05-25 15:15:00,23972.7,24025.55,491.05,520.5,65,TIME,1914.2499999999995,96.5587814005,1817.6912185994995,27,491.05,491.05,1817.6912185994993,-2.2737367544323206e-13,31918.25
BANKNIFTY,short,PE,2026-06-30,55300.0,2026-05-26 12:00:00,2026-05-26 12:35:00,55273.3,55193.4,1056.6,1082.9,30,OI_FLIP,789.0000000000055,95.06217979,693.9378202100055,8,1061.8,1061.8,537.8684729060041,-156.06934730400144,31854.0
BANKNIFTY,short,PE,2026-06-30,54900.0,2026-05-27 13:30:00,2026-05-27 15:05:00,54873.75,54855.05,1029.95,981.0,30,OI_FLIP,-1468.5000000000014,91.528919419,-1560.028919419001,20,1023.75,1023.75,-1373.946236095,186.0826833240012,30712.5
NIFTY,short,PE,2026-06-30,23900.0,2026-05-27 14:30:00,2026-05-27 14:50:00,23890.25,23881.35,372.6,369.4,65,OI_FLIP,-208.00000000000296,82.92641981999999,-290.92641982000293,5,372.4,372.4,-277.920640878,13.005778942002962,24206.0
BANKNIFTY,short,PE,2026-06-30,54700.0,2026-05-29 13:05:00,2026-05-29 13:15:00,54719.05,54586.05,982.0,1057.7,30,OI_FLIP,2271.0000000000014,93.281424994,2177.718575006001,3,980.5,980.5,2222.7385790360013,45.02000403000011,29415.0
NIFTY,short,PE,2026-06-30,23750.0,2026-05-29 13:15:00,2026-05-29 15:00:00,23769.65,23636.798299999995,349.4,412.8,65,SL,4121.000000000002,85.188587962,4035.811412038002,22,347.95,347.95,4130.103309367501,94.29189732949953,22616.75
NIFTY,short,PE,2026-06-30,23500.0,2026-06-01 12:00:00,2026-06-01 15:15:00,23493.65,23376.85,372.55,410.2,65,TIME,2447.249999999998,85.68181925249999,2361.5681807474984,40,372.15,372.15,2387.5797386315007,26.011557884002286,24189.75
BANKNIFTY,short,PE,2026-06-30,53800.0,2026-06-01 13:05:00,2026-06-01 13:15:00,53788.9,53734.85,1008.75,1037.6,30,OI_FLIP,865.4999999999973,93.011324527,772.4886754729973,3,1008.95,1008.95,766.4860082689959,-6.002667204001455,30268.5
BANKNIFTY,long,CE,2026-06-30,53400.0,2026-06-02 11:25:00,2026-06-02 11:30:00,53439.9,53339.95,1327.7,1280.65,30,OI_FLIP,-1411.4999999999986,104.844610267,-1516.3446102669986,2,1326.5,1326.5,-1480.3286070429972,36.01600322400145,39795.0
NIFTY,long,CE,2026-06-30,23350.0,2026-06-02 11:25:00,2026-06-02 11:30:00,23361.2,23334.55,435.8,423.5,65,OI_FLIP,-799.5000000000007,88.408086803,-887.9080868030007,2,435.0,435.0,-835.884971035,52.02311576800071,28275.0
NIFTY,long,CE,2026-06-30,23450.0,2026-06-03 14:25:00,2026-06-03 15:15:00,23434.7,23402.35,451.3,420.0,65,TIME,-2034.500000000001,88.61946082300001,-2123.1194608230007,11,453.95,453.95,-2295.446031804499,-172.3265709814982,29506.75
NIFTY,short,PE,2026-06-30,23350.0,2026-06-04 13:15:00,2026-06-04 14:00:00,23333.65,23410.05,360.0,319.15,65,OI_FLIP,-2655.2500000000014,79.1669685465,-2734.4169685465013,10,357.0,357.0,-2539.3302844165014,195.08668412999987,23205.0
BANKNIFTY,long,CE,2026-06-30,54600.0,2026-06-05 10:05:00,2026-06-05 10:25:00,54625.3,54616.3,1213.4,1222.0,30,OI_FLIP,257.99999999999727,101.491243108,156.50875689199728,5,1220.65,1220.65,-61.08792925300273,-217.596686145,36619.5
BANKNIFTY,long,CE,2026-06-30,54800.0,2026-06-05 11:10:00,2026-06-05 11:35:00,54754.2,54535.1832,1216.8,1083.3,30,SL,-4005.0,97.211084602,-4102.211084602,6,1204.25,1204.25,-3725.5437175510015,376.6673670509981,36127.5
NIFTY,long,CE,2026-06-30,23450.0,2026-06-05 11:10:00,2026-06-05 11:40:00,23470.2,23422.8,427.8,387.75,65,OI_FLIP,-2603.250000000001,85.76131199049999,-2689.011311990501,7,419.3,419.3,-2136.2657069555007,552.7456050350002,27254.5
NIFTY,short,PE,2026-06-30,23300.0,2026-06-05 13:45:00,2026-06-05 14:40:00,23300.4,23393.6016,343.6,275.3,65,SL,-4439.500000000001,75.73016351899999,-4515.230163519001,12,343.6,343.6,-4515.230163519001,0.0,22334.0
BANKNIFTY,short,PE,2026-06-30,54100.0,2026-06-08 11:20:00,2026-06-08 11:30:00,54080.9,54068.4,1009.85,1002.25,30,OI_FLIP,-228.00000000000068,91.923568342,-319.9235683420007,3,1009.6,1009.6,-312.4202343370007,7.503334004999999,30288.0
NIFTY,short,PE,2026-06-30,23100.0,2026-06-09 11:25:00,2026-06-09 12:20:00,23112.8,23205.2512,324.75,278.65,65,SL,-2996.5000000000014,75.411856764,-3071.911856764001,12,324.15,324.15,-3032.894519938,39.017336826001156,21069.75
BANKNIFTY,long,CE,2026-06-30,55400.0,2026-06-10 11:30:00,2026-06-10 11:45:00,55432.3,55483.0,1021.8,1043.55,30,OI_FLIP,652.5,93.370916407,559.129083593,4,1017.35,1017.35,692.688428881998,133.55934528899797,30520.5
BANKNIFTY,long,CE,2026-06-30,55400.0,2026-06-11 11:50:00,2026-06-11 13:10:00,55356.45,55433.34955,950.5,951.1,30,SL,18.000000000000682,89.536910632,-71.53691063199932,17,952.95,952.95,-145.06958388100065,-73.53267324900133,28588.5
BANKNIFTY,long,CE,2026-06-30,56100.0,2026-06-12 13:30:00,2026-06-12 14:15:00,56083.5,56532.168,849.55,1167.75,30,TGT,9546.000000000002,94.947090646,9451.052909354004,10,845.15,845.15,9583.111587842,132.05867848799608,25354.5
NIFTY,long,CE,2026-06-30,23450.0,2026-06-12 13:35:00,2026-06-12 14:55:00,23426.7,23614.1136,293.25,409.6,65,TGT,7562.750000000002,83.3499269235,7479.400073076502,17,291.2,291.2,7612.709307232002,133.30923415550023,18928.0
BANKNIFTY,long,CE,2026-06-30,57200.0,2026-06-16 13:25:00,2026-06-16 15:05:00,57230.1,57317.15,722.65,735.0,30,OI_FLIP,370.5000000000007,79.758999553,290.7410004470007,21,723.15,723.15,275.73433243700066,-15.006668010000055,21694.5
NIFTY,short,PE,2026-06-30,24000.0,2026-06-23 12:00:00,2026-06-23 12:25:00,23982.6,23948.85,152.8,173.95,65,OI_FLIP,1374.7499999999986,63.368862742500006,1311.3811372574987,6,150.15,150.15,1483.7077082389987,172.32657098150003,9759.75
BANKNIFTY,short,PE,2026-06-30,57500.0,2026-06-23 12:00:00,2026-06-23 12:15:00,57543.9,57530.6,377.3,383.35,30,OI_FLIP,181.50000000000037,64.186841113,117.31315888700034,4,374.0,374.0,216.35716775300068,99.04400886600034,11220.0
NIFTY,long,CE,2026-06-30,24050.0,2026-06-24 13:35:00,2026-06-24 14:30:00,24072.85,24049.35,171.2,149.1,65,OI_FLIP,-1436.4999999999995,62.221418113,-1498.7214181129996,12,170.35,170.35,-1443.4468576095,55.274560503499515,11072.75
